0,Praha - SZ,50.11632,14.36841
1,Praha - SV,50.11632,14.46721
2,Praha - JV,50.05275,14.46721
3,Praha - JZ,50.05275,14.36841
4,Černošice,49.96008932740674,14.31979596914964
5,Říčany,49.99168146388951,14.654267682701759
6,Český Brod,50.074200387434125,14.860808578337354
7,Nymburk,50.18604729859137,15.041668554894647
8,Poděbrady,50.1424258488559,15.118811272724427
9,Kolín,50.02814567026733,15.2005609537678
10,Kutná Hora,49.94839616159323,15.268158652919945
11,Čáslav,49.91098398520722,15.38972641148303
12,Vlašim,49.706324835646775,14.898808654916346
13,Benešov,49.781619346508144,14.686974328768796
14,Votice,49.640122911530305,14.638080431934979
15,Sedlčany,49.66057797470203,14.426640294226202
16,Příbram,49.68987370317837,14.010429575280886
17,Dobříš,49.781129918693075,14.167170003830472
18,Hořovice,49.83597945984125,13.902688276254162
19,Beroun,49.96382537064128,14.071999651413064
20,Rakovník,50.10369617901922,13.73339832051965
21,Kladno,50.147335803679916,14.10285536021411
22,Slaný,50.23046235863068,14.086935591821257
23,Kralupy nad Vltavou,50.241071792305824,14.311497103260587
24,Mělník,50.35050622644379,14.474108472787853
25,Neratovice,50.259255976486735,14.51758900173265
26,Brandýs nad Labem-Stará Boleslav,50.18708589827316,14.663258762571077
27,Lysá nad Labem,50.201431192870935,14.832816727288082
28,Mladá Boleslav,50.41134850488465,14.903177744929673
29,Mnichovo Hradiště,50.527205948615595,14.971336773728295
30,Turnov,50.587288679533906,15.156796681712764
31,Železný Brod,50.64273466080373,15.254075088151945
32,Semily,50.60190769521767,15.335530080188546
33,Jilemnice,50.608896814641675,15.506532434546324
34,Tanvald,50.73736094585683,15.305857037967955
35,Jablonec nad Nisou,50.72430904266647,15.171076956374238
36,Frýdlant,50.921403707982456,15.079736793424365
37,Liberec,50.76999688417262,15.058441454127964
38,Česká Lípa,50.68552148696123,14.537649264491337
39,Nový Bor,50.757615387229,14.555555649358398
40,Varnsdorf,50.91153858269801,14.618234341790105
41,Rumburk,50.95151430806106,14.556983823982167
42,Děčín,50.7821619213267,14.214780087218708
43,Ústí nad Labem,50.66049373483617,14.040701597103515
44,Litoměřice,50.533477122526186,14.131798240184539
45,Roudnice nad Labem,50.4252869193762,14.26174963404227
46,Lovosice,50.51503803918961,14.051031592697905
47,Teplice,50.640401251903505,13.824506391369317
48,Bílina,50.54854409527436,13.775343804257973
49,Litvínov,50.60068289977878,13.611111034904601
50,Most,50.50300482284319,13.63616780597327
51,Louny,50.35699328850203,13.796676460523711
52,Žatec,50.32716836924633,13.545776390522088
53,Podbořany,50.22937576592029,13.411912760825834
54,Chomutov,50.46047921293259,13.417778468079069
55,Kadaň,50.375985780472966,13.271307624820677
56,Ostrov,50.30591734990251,12.939072053651978
57,Karlovy Vary,50.221325004031875,12.886079532519554
58,Sokolov,50.18129635205214,12.640101448137427
59,Kraslice,50.32371628841613,12.517466330420008
60,Aš,50.22386199883834,12.194995481876306
61,Cheb,50.07963736340016,12.373927624042837
62,Mariánské Lázně,49.964585985391885,12.701188379362984
63,Tachov,49.79528529293895,12.633650990054624
64,Domažlice,49.4404867125834,12.92976135783079
65,Horšovský Týn,49.529648464713254,12.944051515231445
66,Stříbro,49.752939455890434,13.004089523800753
67,Stod,49.63908769758651,13.164729320806837
68,Nýřany,49.711456427683,13.211841684425982
69,Plzeň,49.747468963038365,13.377584000265111
70,Kralovice,49.98191367716414,13.487475595927117
71,Rokycany,49.74269991183298,13.594587132653649
72,Blovice,49.58219528528674,13.540093368662875
73,Nepomuk,49.48615852422157,13.582252078944672
74,Přeštice,49.572979256770715,13.333502300494038
75,Klatovy,49.39552389016267,13.295050168879433
76,Sušice,49.23105353737565,13.520186719270173
77,Horažďovice,49.32068248045082,13.701009741484013
78,Blatná,49.42488385688001,13.881766324489243
79,Strakonice,49.26140811865992,13.902369786856005
80,Vimperk,49.05243194189912,13.77425675045219
81,Prachatice,49.01292636063777,13.997524117612302
82,Český Krumlov,48.81091463295136,14.315211463780232
83,Kaplice,48.738478868973,14.496271360285418
84,Trhové Sviny,48.84231827881113,14.639240992432649
85,Třeboň,49.00363478690914,14.770652331965175
86,České Budějovice,48.974466066314356,14.474335350827955
87,Vodňany,49.147887687829304,14.175128586091107
88,Týn nad Vltavou,49.22339984727716,14.420564546022598
89,Písek,49.308796478575836,14.147498474435709
90,Milevsko,49.450888960046036,14.360001104699679
91,Tábor,49.414411747341155,14.657804143034268
92,Soběslav,49.25992830528603,14.718612333032924
93,Jindřichův Hradec,49.14405087130124,15.00301079156983
94,Dačice,49.08154552382131,15.437262544915106
95,Telč,49.184179128067136,15.452754472282303
96,Pacov,49.470755000290474,15.001683903131811
97,Pelhřimov,49.43133126344396,15.223356133737207
98,Humpolec,49.54152818947929,15.35931948022956
99,Světlá nad Sázavou,49.668015122302144,15.403940304816606
100,Chotěboř,49.72071313848202,15.670181721188863
101,Havlíčkův Brod,49.607842217584356,15.580683859231959
102,Jihlava,49.39610377941667,15.591249394835595
103,Žďár nad Sázavou,49.56262980289883,15.939235009616105
104,Nové Město na Moravě,49.56144132396661,16.07418948491794
105,Bystřice nad Pernštejnem,49.52294280310337,16.261463688964863
106,Velké Meziříčí,49.3552207008317,16.012240801014453
107,Náměšť nad Oslavou,49.20726067581021,16.158492737492434
108,Třebíč,49.214917993552966,15.881658273815823
109,Moravské Budějovice,49.052094898143274,15.80864279471099
110,Znojmo,48.85550454395173,16.048801006168294
111,Mikulov,48.80556606042142,16.63779807891306
112,Břeclav,48.758964173025156,16.88202674319982
